target,inputs,num_large,num_solutions
163,75;6;1;6;9;1,1,15
243,75;1;4;1;7;6,1,120
922,100;25;7;1;2;1,2,0
176,75;50;25;25;1;8,4,133
748,25;25;75;5;2;2,3,167
149,1;6;1;4;5;10,0,45
787,25;1;1;1;8;2,1,0
243,9;7;4;8;7;5,0,98
255,100;100;3;3;1;9,2,9
318,25;50;2;3;8;1,2,91
443,50;50;10;3;8;4,2,159
312,50;50;50;9;1;3,3,4
553,100;50;50;75;5;9,4,0
737,100;25;2;1;5;3,2,19
521,100;25;3;4;1;4,2,15
972,75;50;100;9;5;1,3,0
551,100;100;50;75;3;7,4,0
208,5;2;3;3;5;8,0,78
138,75;7;4;5;10;3,1,327
141,50;6;4;2;2;8,1,24
900,25;75;9;3;1;9,2,112
981,25;75;100;2;7;4,3,25
472,50;25;6;4;2;3,2,56
675,50;3;1;7;9;8,1,66
247,75;8;3;3;2;6,1,60
777,25;7;10;1;9;5,1,37
108,75;8;6;8;9;6,1,91
165,25;3;1;9;8;2,1,267
340,50;3;3;6;3;3,1,0
482,100;25;75;50;6;2,4,2
327,75;100;75;5;7;10,3,16
586,50;75;50;8;10;5,3,18
123,25;25;10;1;4;8,2,66
433,75;50;75;50;10;5,4,3
965,75;75;75;50;6;2,4,0
384,75;50;4;1;1;4,2,34
195,50;50;1;9;3;5,2,298
237,100;100;8;2;3;1,2,9
340,2;3;6;2;2;2,0,0
169,75;100;25;25;10;7,4,23
787,25;25;25;25;6;4,4,0
250,75;50;4;9;1;1,2,86
688,25;25;100;25;4;3,4,43
282,25;10;8;8;6;7,1,66
813,50;50;75;5;10;5,3,3
854,100;75;75;100;10;1,4,0
945,100;4;10;1;7;5,1,37
244,50;6;6;9;3;4,1,80
230,100;50;10;3;7;7,2,280
229,9;3;5;6;8;1,0,94
111,50;75;50;75;8;7,4,4
699,6;6;10;2;7;5,0,16
503,100;25;100;5;7;1,3,9
501,8;5;4;6;5;1,0,0
628,50;75;8;4;2;10,2,88
912,5;4;9;5;9;2,0,6
711,10;3;9;10;3;8,0,32
913,50;50;6;6;7;5,2,0
503,50;75;25;25;7;3,4,50
842,50;2;1;5;10;6,1,1
653,50;75;75;75;2;3,4,0
117,25;50;75;25;3;9,4,58
581,25;100;5;4;6;7,2,164
681,100;75;25;9;6;3,3,81
511,75;25;9;3;10;6,2,33
254,100;75;2;8;3;1,2,211
916,100;25;75;4;9;9,3,92
223,50;100;25;9;2;3,3,251
215,100;50;75;25;7;6,4,29
491,25;50;75;100;9;5,4,458
897,7;10;6;9;1;10,0,8
854,25;50;100;8;5;2,3,20
473,25;1;3;9;2;10,1,27
541,75;100;50;25;10;9,4,221
344,100;3;10;10;8;10,1,14
431,25;100;1;8;4;4,2,12
157,75;50;4;2;7;3,2,253
415,25;25;5;6;9;6,2,12
841,75;100;75;1;1;7,3,0
523,25;25;100;4;9;5,3,0
307,75;50;7;10;6;2,2,77
159,25;75;100;2;6;7,3,259
243,2;2;7;5;4;8,0,15
966,9;2;4;4;4;4,0,0
106,50;4;9;5;3;4,1,186
139,75;75;2;2;8;6,2,39
553,2;7;1;10;1;10,0,3
382,25;75;25;50;3;2,4,3
165,75;100;75;50;3;7,4,32
498,25;100;25;50;10;7,4,16
814,10;6;8;1;9;8,0,10
496,5;10;8;4;5;8,0,17
911,4;6;7;1;2;8,0,0
442,75;10;1;10;8;6,1,74
730,25;75;25;75;2;9,4,1
909,1;1;2;9;10;8,0,3
301,50;25;100;2;1;7,3,158
174,1;5;7;3;5;1,0,32
601,75;3;1;4;4;6,1,70
753,100;9;3;2;6;5,1,59
186,75;6;8;9;8;1,1,66
845,100;100;3;10;4;3,2,1
431,100;6;2;5;9;3,1,46
897,6;4;7;7;7;8,0,1
789,25;7;6;7;3;9,1,13
951,50;75;100;6;3;8,3,37
378,5;1;4;4;1;10,0,2
600,50;75;75;50;7;5,4,190
394,25;8;2;3;2;9,1,50
